track_name,artist,track_genre,popularity,danceability,energy,valence,tempo,acousticness,speechiness,liveness,instrumentalness
Golden Hour,Vista Echo,pop,72,0.72,0.62,0.84,118,0.18,0.05,0.11,0.00
Midnight Rain,Blue Avenue,indie,65,0.58,0.41,0.29,94,0.52,0.04,0.10,0.01
Neon Pulse,Static Dreams,electronic,80,0.83,0.91,0.76,128,0.04,0.06,0.19,0.12
Soft Letters,Willow Grey,acoustic,54,0.49,0.26,0.35,88,0.81,0.03,0.12,0.00
Afterglow Drive,City Reverie,synth-pop,71,0.76,0.73,0.68,121,0.14,0.04,0.09,0.02
Clouded Thoughts,Nora Vale,alt-pop,60,0.55,0.38,0.22,98,0.60,0.05,0.14,0.00
High Tide Run,Motion Theory,rock,69,0.63,0.87,0.59,136,0.07,0.07,0.22,0.00
Quiet Orbit,Luma Fields,ambient,43,0.31,0.17,0.26,74,0.89,0.03,0.08,0.78
Velvet Morning,Aria Bloom,r&b,74,0.79,0.58,0.71,110,0.21,0.06,0.13,0.00
Paper Lanterns,Sable Coast,folk,51,0.46,0.29,0.41,86,0.77,0.04,0.11,0.00
Fire Escape,Signal Kids,pop-rock,67,0.69,0.82,0.64,124,0.12,0.05,0.15,0.00
Slow Waves,June Harbor,lo-fi,48,0.57,0.24,0.38,82,0.72,0.08,0.10,0.27
Rushlight,Chrome Youth,dance,77,0.88,0.93,0.81,130,0.03,0.09,0.20,0.04
Empty Room,Sol Finch,singer-songwriter,56,0.42,0.21,0.18,76,0.84,0.05,0.09,0.00
Open Skies,Maple Theory,indie-pop,70,0.74,0.67,0.79,116,0.16,0.04,0.10,0.00
Heavy Bloom,North Vale,alternative,58,0.51,0.64,0.31,102,0.33,0.05,0.16,0.00
Electric Bloom,Nova Arcade,electropop,75,0.85,0.88,0.74,127,0.05,0.07,0.18,0.09
Winter Notes,Hollow Pines,classical,40,0.22,0.14,0.20,68,0.93,0.02,0.07,0.91
Sunspill,Day Routine,bedroom-pop,62,0.77,0.55,0.73,112,0.24,0.05,0.12,0.00
Echo Chamber,Aster Lane,indie-rock,64,0.61,0.71,0.44,108,0.28,0.05,0.17,0.01
